CalendarDay,Bucket,DamageRate
4/5/2016,1,0.836369042
5/10/2013,1,0.674513538
10/1/2016,1,0.933400993
3/14/2017,1,0.822693016
3/1/2010,1,0.710957358
4/6/2016,1,0.834705577
5/9/2013,1,0.74380774
12/19/2016,1,0.879462001
4/1/2016,1,0.827638995
3/2/2010,1,0.717602014
5/13/2013,1,0.73840154
10/2/2016,1,0.895595774
3/29/2016,1,0.867418936
11/30/2012,1,0.713769209
3/9/2010,1,0.739207291
5/15/2013,1,0.742385463
3/8/2010,1,0.650293205
3/28/2016,1,0.89458431
3/17/2017,1,0.863755789
4/7/2016,1,0.859417758
3/31/2016,1,0.859804048
3/5/2010,1,0.664009598
5/14/2013,1,0.755995694
8/21/2009,1,0.691736202
3/16/2017,1,0.848911844
3/30/2016,1,0.882315908
2/27/2017,1,0.848323884
4/14/2016,1,0.856343546
4/15/2016,1,0.827139008
3/10/2017,1,0.819288019
2/22/2010,1,0.753339508
2/19/2010,1,0.747402011
5/3/2013,1,0.754462915
5/2/2013,1,0.744547304
4/17/2016,1,0.820236551
4/16/2016,1,0.881123079
4/18/2016,1,0.833191005
9/30/2016,1,0.831575657
2/18/2010,1,0.76058389
8/24/2009,1,0.644792187
3/9/2017,1,0.84911261
4/12/2016,1,0.840654529
2/25/2010,1,0.718966338
4/9/2016,1,0.876657362
5/7/2013,1,0.694465181
4/8/2016,1,0.876350136
2/26/2010,1,0.704634542
3/12/2017,1,0.92767009
3/13/2017,1,0.837521586
4/10/2016,1,0.836210508
5/8/2013,1,0.701438936
3/11/2017,1,0.898846391
2/23/2010,1,0.755297377
5/6/2013,1,0.697135614
4/11/2016,1,0.862423697
2/17/2010,1,0.752279576
2/24/2010,1,0.711393489
8/27/2009,1,0.619322695
6/6/2016,1,0.837237021
12/30/2009,1,0.713953841
9/23/2016,1,0.878799947
4/1/2013,1,0.703629359
2/13/2017,1,0.842777252
6/5/2016,1,0.846354353
6/7/2016,1,0.829716399
9/22/2016,1,0.864599864
3/29/2013,1,0.687606448
2/12/2017,1,0.929452897
12/28/2009,1,0.786687346
12/29/2009,1,0.700403758
12/31/2009,1,0.762609786
6/8/2016,1,0.828965494
4/2/2013,1,0.729935145
6/1/2016,1,0.824917877
5/31/2016,1,0.874761346
1/5/2010,1,0.749487136
5/30/2016,1,0.85794736
1/6/2010,1,0.750214612
4/3/2013,1,0.744951182
4/4/2013,1,0.762267903
8/31/2009,1,0.664578083
6/9/2016,1,0.797518626
6/3/2016,1,0.802729933
2/14/2017,1,0.870183304
6/2/2016,1,0.81200587
1/4/2010,1,0.745050684
6/4/2016,1,0.8342462
2/15/2017,1,0.847958444
6/14/2016,1,0.862343969
3/25/2013,1,0.722019685
6/16/2016,1,0.814065819
12/18/2009,1,0.768919521
9/21/2016,1,0.871153617
12/17/2009,1,0.736939283
12/23/2016,1,0.892381701
2/8/2017,1,0.863516877
2/7/2017,1,0.877429961
6/18/2016,1,0.846406436
9/2/2009,1,0.574918802
3/22/2013,1,0.721718171
6/17/2016,1,0.838643746
6/15/2016,1,0.823681775
12/16/2009,1,0.746298825
12/21/2009,1,0.805233796
9/1/2009,1,0.672595943
6/11/2016,1,0.864441853
12/23/2009,1,0.688507749
6/10/2016,1,0.82539441
3/28/2013,1,0.756606867
3/10/2010,1,0.727997579
2/11/2017,1,0.927277081
2/10/2017,1,0.881871702
12/24/2009,1,0.785895903
6/13/2016,1,0.855958149
2/9/2017,1,0.891558219
3/26/2013,1,0.756317703
6/12/2016,1,0.897233417
2/16/2017,1,0.811331096
12/22/2009,1,0.76418774
2/18/2017,1,0.941949631
2/23/2017,1,0.854276215
1/20/2010,1,0.741082464
5/16/2016,1,0.839078767
5/15/2016,1,0.892623845
